candidate_rank,candidate_id,name,birth_year,occupation,country_name,gender,wikipedia_languages,hpi,source_record_url,milestone_by_26_status,research_status,selection_note
34,fe-candidate-0034-salar-kamangar,Salar Kamangar,1975,Google VP,,,,,https://en.wikipedia.org/wiki/Salar_Kamangar,unresearched,unverified_candidate,Curated: Google VP
35,fe-candidate-0035-alex-ray,Alex Ray,,OpenAI researcher,,,,,https://en.wikipedia.org/wiki/Alex_Ray,unresearched,unverified_candidate,Curated: OpenAI researcher
36,fe-candidate-0036-eric-bach,Eric Bach,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Eric_Bach,unresearched,unverified_candidate,Wikipedia category: American computer scientists
37,fe-candidate-0037-luigi-mangione,Luigi Mangione,,American software engineers,,,,,https://en.wikipedia.org/wiki/Luigi_Mangione,unresearched,unverified_candidate,Wikipedia category: American software engineers
38,fe-candidate-0038-chris-pinkham,Chris Pinkham,,AWS founder,,,,,https://en.wikipedia.org/wiki/Chris_Pinkham,unresearched,unverified_candidate,Curated: AWS founder
39,fe-candidate-0039-jérôme-petazzoni,Jérôme Petazzoni,,Docker engineer,,,,,https://en.wikipedia.org/wiki/Jérôme_Petazzoni,unresearched,unverified_candidate,Curated: Docker engineer
40,fe-candidate-0040-jim-jagielski,Jim Jagielski,,American software engineers,,,,,https://en.wikipedia.org/wiki/Jim_Jagielski,unresearched,unverified_candidate,Wikipedia category: American software engineers
41,fe-candidate-0041-james-watters,James Watters,,tech engineer,,,,,https://en.wikipedia.org/wiki/James_Watters,unresearched,unverified_candidate,Curated: tech engineer
42,fe-candidate-0042-sara-mauskopf,Sara Mauskopf,,tech founder,,,,,https://en.wikipedia.org/wiki/Sara_Mauskopf,unresearched,unverified_candidate,Curated: tech founder
43,fe-candidate-0043-stephen-rothwell,Stephen Rothwell,,Linux kernel maintainer,,,,,https://en.wikipedia.org/wiki/Stephen_Rothwell,unresearched,unverified_candidate,Curated: Linux kernel maintainer
44,fe-candidate-0044-alex-woodie,Alex Woodie,,tech writer,,,,,https://en.wikipedia.org/wiki/Alex_Woodie,unresearched,unverified_candidate,Curated: tech writer
45,fe-candidate-0045-azer-bestavros,Azer Bestavros,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Azer_Bestavros,unresearched,unverified_candidate,Wikipedia category: American computer scientists
46,fe-candidate-0046-david-crowe-(software-engineer),David Crowe (software engineer),,American software engineers,,,,,https://en.wikipedia.org/wiki/David_Crowe_(software_engineer),unresearched,unverified_candidate,Wikipedia category: American software engineers
47,fe-candidate-0047-alexander-berg,Alexander Berg,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Alexander_Berg,unresearched,unverified_candidate,Wikipedia category: American computer scientists
48,fe-candidate-0048-tara-astigarraga,Tara Astigarraga,,American software engineers,,,,,https://en.wikipedia.org/wiki/Tara_Astigarraga,unresearched,unverified_candidate,Wikipedia category: American software engineers
49,fe-candidate-0049-kevin-chou,Kevin Chou,1980,Kabam founder,,,,,https://en.wikipedia.org/wiki/Kevin_Chou,unresearched,unverified_candidate,Curated: Kabam founder
50,fe-candidate-0050-aaron-harris,Aaron Harris,1980,YC partner,,,,,https://en.wikipedia.org/wiki/Aaron_Harris,unresearched,unverified_candidate,Curated: YC partner
51,fe-candidate-0051-benjamin-black,Benjamin Black,,AWS engineer,,,,,https://en.wikipedia.org/wiki/Benjamin_Black,unresearched,unverified_candidate,Curated: AWS engineer
52,fe-candidate-0052-naomi-ceder,Naomi Ceder,,American software engineers,,,,,https://en.wikipedia.org/wiki/Naomi_Ceder,unresearched,unverified_candidate,Wikipedia category: American software engineers
53,fe-candidate-0053-kent-beck,Kent Beck,1961,XP/TDD creator,,,,,https://en.wikipedia.org/wiki/Kent_Beck,unresearched,unverified_candidate,Curated: XP/TDD creator
54,fe-candidate-0054-nick-begich-iii,Nick Begich III,,American technology company founders,,,,,https://en.wikipedia.org/wiki/Nick_Begich_III,unresearched,unverified_candidate,Wikipedia category: American technology company founders
55,fe-candidate-0055-steve-westly,Steve Westly,1957,eBay VP,,,,,https://en.wikipedia.org/wiki/Steve_Westly,unresearched,unverified_candidate,Curated: eBay VP
56,fe-candidate-0056-jewel-burks,Jewel Burks,,tech founder,,,,,https://en.wikipedia.org/wiki/Jewel_Burks,unresearched,unverified_candidate,Curated: tech founder
57,fe-candidate-0057-evan-sharp,Evan Sharp,1982,Pinterest founder,,,,,https://en.wikipedia.org/wiki/Evan_Sharp,unresearched,unverified_candidate,Curated: Pinterest founder
58,fe-candidate-0058-peter-thiel,Peter Thiel,1967,PayPal founder,,,,,https://en.wikipedia.org/wiki/Peter_Thiel,unresearched,unverified_candidate,Curated: PayPal founder
59,fe-candidate-0059-timothy-w.-bickmore,Timothy W. Bickmore,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Timothy_W._Bickmore,unresearched,unverified_candidate,Wikipedia category: American computer scientists
60,fe-candidate-0060-nils-lahr,Nils Lahr,,American software engineers,,,,,https://en.wikipedia.org/wiki/Nils_Lahr,unresearched,unverified_candidate,Wikipedia category: American software engineers
61,fe-candidate-0061-rachel-andrew,Rachel Andrew,1967,web developer,,,,,https://en.wikipedia.org/wiki/Rachel_Andrew,unresearched,unverified_candidate,Curated: web developer
62,fe-candidate-0062-simon-peyton-jones,Simon Peyton Jones,1958,Haskell researcher,,,,,https://en.wikipedia.org/wiki/Simon_Peyton_Jones,unresearched,unverified_candidate,Curated: Haskell researcher
63,fe-candidate-0063-ken-cochrane,Ken Cochrane,,Docker engineer,,,,,https://en.wikipedia.org/wiki/Ken_Cochrane,unresearched,unverified_candidate,Curated: Docker engineer
64,fe-candidate-0064-chris-korda,Chris Korda,,American software engineers,,,,,https://en.wikipedia.org/wiki/Chris_Korda,unresearched,unverified_candidate,Wikipedia category: American software engineers
65,fe-candidate-0065-rachel-thomas,Rachel Thomas,,fast.ai founder,,,,,https://en.wikipedia.org/wiki/Rachel_Thomas,unresearched,unverified_candidate,Curated: fast.ai founder
66,fe-candidate-0066-emmett-shear,Emmett Shear,1983,YC founder,,,,,https://en.wikipedia.org/wiki/Emmett_Shear,unresearched,unverified_candidate,Curated: YC founder
67,fe-candidate-0067-mike-schroepfer,Mike Schroepfer,1969,Facebook CTO,,,,,https://en.wikipedia.org/wiki/Mike_Schroepfer,unresearched,unverified_candidate,Curated: Facebook CTO
68,fe-candidate-0068-christopher-slowe,Christopher Slowe,1985,Reddit engineer,,,,,https://en.wikipedia.org/wiki/Christopher_Slowe,unresearched,unverified_candidate,Curated: Reddit engineer
69,fe-candidate-0069-susan-rigetti,Susan Rigetti,,American software engineers,,,,,https://en.wikipedia.org/wiki/Susan_Rigetti,unresearched,unverified_candidate,Wikipedia category: American software engineers
70,fe-candidate-0070-tim-hockin,Tim Hockin,,Kubernetes contributor,,,,,https://en.wikipedia.org/wiki/Tim_Hockin,unresearched,unverified_candidate,Curated: Kubernetes contributor
71,fe-candidate-0071-aimee-lucido,Aimee Lucido,,American software engineers,,,,,https://en.wikipedia.org/wiki/Aimee_Lucido,unresearched,unverified_candidate,Wikipedia category: American software engineers
72,fe-candidate-0072-regina-barzilay,Regina Barzilay,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Regina_Barzilay,unresearched,unverified_candidate,Wikipedia category: American computer scientists
73,fe-candidate-0073-tim-sweeney,Tim Sweeney,1970,Epic Games founder,,,,,https://en.wikipedia.org/wiki/Tim_Sweeney,unresearched,unverified_candidate,Curated: Epic Games founder
74,fe-candidate-0074-andrew-appel,Andrew Appel,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Andrew_Appel,unresearched,unverified_candidate,Wikipedia category: American computer scientists
75,fe-candidate-0075-rudd-canaday,Rudd Canaday,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Rudd_Canaday,unresearched,unverified_candidate,Wikipedia category: American computer scientists
76,fe-candidate-0076-fedor-pikus,Fedor Pikus,,C++ engineer,,,,,https://en.wikipedia.org/wiki/Fedor_Pikus,unresearched,unverified_candidate,Curated: C++ engineer
77,fe-candidate-0077-ingo-molnar,Ingo Molnar,1973,Linux kernel maintainer,,,,,https://en.wikipedia.org/wiki/Ingo_Molnar,unresearched,unverified_candidate,Curated: Linux kernel maintainer
78,fe-candidate-0078-michael-stoyke,Michael Stoyke,,Minecraft developer,,,,,https://en.wikipedia.org/wiki/Michael_Stoyke,unresearched,unverified_candidate,Curated: Minecraft developer
79,fe-candidate-0079-nicolas-de-loof,Nicolas De Loof,,Docker engineer,,,,,https://en.wikipedia.org/wiki/Nicolas_De_Loof,unresearched,unverified_candidate,Curated: Docker engineer
80,fe-candidate-0080-tracy-chou,Tracy Chou,1988,Pinterest engineer,,,,,https://en.wikipedia.org/wiki/Tracy_Chou,unresearched,unverified_candidate,Curated: Pinterest engineer
81,fe-candidate-0081-randal-burns,Randal Burns,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Randal_Burns,unresearched,unverified_candidate,Wikipedia category: American computer scientists
82,fe-candidate-0082-david-r.-brown-(engineer),David R. Brown (engineer),,American computer scientists,,,,,https://en.wikipedia.org/wiki/David_R._Brown_(engineer),unresearched,unverified_candidate,Wikipedia category: American computer scientists
83,fe-candidate-0083-yehuda-katz,Yehuda Katz,1983,Ember/Rails contributor,,,,,https://en.wikipedia.org/wiki/Yehuda_Katz,unresearched,unverified_candidate,Curated: Ember/Rails contributor
84,fe-candidate-0084-steve-schoettler,Steve Schoettler,,Zynga founder,,,,,https://en.wikipedia.org/wiki/Steve_Schoettler,unresearched,unverified_candidate,Curated: Zynga founder
85,fe-candidate-0085-reggie-brown,Reggie Brown,1991,Snapchat founder,,,,,https://en.wikipedia.org/wiki/Reggie_Brown,unresearched,unverified_candidate,Curated: Snapchat founder
86,fe-candidate-0086-samir-arora,Samir Arora,,American software engineers,,,,,https://en.wikipedia.org/wiki/Samir_Arora,unresearched,unverified_candidate,Wikipedia category: American software engineers
87,fe-candidate-0087-sujata-banerjee,Sujata Banerjee,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Sujata_Banerjee,unresearched,unverified_candidate,Wikipedia category: American computer scientists
88,fe-candidate-0088-daniel-smith,Daniel Smith,,Kubernetes contributor,,,,,https://en.wikipedia.org/wiki/Daniel_Smith,unresearched,unverified_candidate,Curated: Kubernetes contributor
89,fe-candidate-0089-leon-bottou,Leon Bottou,1965,ML researcher,,,,,https://en.wikipedia.org/wiki/Leon_Bottou,unresearched,unverified_candidate,Curated: ML researcher
90,fe-candidate-0090-jeanne-clare-adams,Jeanne Clare Adams,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Jeanne_Clare_Adams,unresearched,unverified_candidate,Wikipedia category: American computer scientists
91,fe-candidate-0091-william-lamie,William Lamie,,American software engineers,,,,,https://en.wikipedia.org/wiki/William_Lamie,unresearched,unverified_candidate,Wikipedia category: American software engineers
92,fe-candidate-0092-jeff-hawkins,Jeff Hawkins,1957,Palm founder,,,,,https://en.wikipedia.org/wiki/Jeff_Hawkins,unresearched,unverified_candidate,Curated: Palm founder
93,fe-candidate-0093-tom-brown,Tom Brown,1991,Anthropic founder,,,,,https://en.wikipedia.org/wiki/Tom_Brown,unresearched,unverified_candidate,Curated: Anthropic founder
94,fe-candidate-0094-mike-sokolsky,Mike Sokolsky,,Udacity founder,,,,,https://en.wikipedia.org/wiki/Mike_Sokolsky,unresearched,unverified_candidate,Curated: Udacity founder
95,fe-candidate-0095-erin-musk,Erin Musk,,tech founder,,,,,https://en.wikipedia.org/wiki/Erin_Musk,unresearched,unverified_candidate,Curated: tech founder
96,fe-candidate-0096-marcus-schwarting,Marcus Schwarting,,Valve engineer,,,,,https://en.wikipedia.org/wiki/Marcus_Schwarting,unresearched,unverified_candidate,Curated: Valve engineer
97,fe-candidate-0097-carla-brodley,Carla Brodley,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Carla_Brodley,unresearched,unverified_candidate,Wikipedia category: American computer scientists
98,fe-candidate-0098-sara-wojcicki,Sara Wojcicki,,tech adjacent,,,,,https://en.wikipedia.org/wiki/Sara_Wojcicki,unresearched,unverified_candidate,Curated: tech adjacent
99,fe-candidate-0099-scott-forstall,Scott Forstall,,American software engineers,,,,,https://en.wikipedia.org/wiki/Scott_Forstall,unresearched,unverified_candidate,Wikipedia category: American software engineers
100,fe-candidate-0100-tracy-chou-(software-engineer),Tracy Chou (software engineer),,American software engineers,,,,,https://en.wikipedia.org/wiki/Tracy_Chou_(software_engineer),unresearched,unverified_candidate,Wikipedia category: American software engineers
101,fe-candidate-0101-charlie-robbins,Charlie Robbins,,Node contributor,,,,,https://en.wikipedia.org/wiki/Charlie_Robbins,unresearched,unverified_candidate,Curated: Node contributor
102,fe-candidate-0102-darrell-etherington,Darrell Etherington,,tech writer,,,,,https://en.wikipedia.org/wiki/Darrell_Etherington,unresearched,unverified_candidate,Curated: tech writer
103,fe-candidate-0103-theodore-ts'o,Theodore Ts'o,1968,Linux kernel maintainer,,,,,https://en.wikipedia.org/wiki/Theodore_Ts'o,unresearched,unverified_candidate,Curated: Linux kernel maintainer
104,fe-candidate-0104-brendan-gregg,Brendan Gregg,1972,Netflix/BPF engineer,,,,,https://en.wikipedia.org/wiki/Brendan_Gregg,unresearched,unverified_candidate,Curated: Netflix/BPF engineer
105,fe-candidate-0105-geoffrey-hinton,Geoffrey Hinton,1947,AI researcher,,,,,https://en.wikipedia.org/wiki/Geoffrey_Hinton,unresearched,unverified_candidate,Curated: AI researcher
106,fe-candidate-0106-ken-jennings,Ken Jennings,,American software engineers,,,,,https://en.wikipedia.org/wiki/Ken_Jennings,unresearched,unverified_candidate,Wikipedia category: American software engineers
107,fe-candidate-0107-ada-lovelace,Ada Lovelace,1815,CS pioneer,,,,,https://en.wikipedia.org/wiki/Ada_Lovelace,unresearched,unverified_candidate,Curated: CS pioneer
108,fe-candidate-0108-alex-padilla,Alex Padilla,,American software engineers,,,,,https://en.wikipedia.org/wiki/Alex_Padilla,unresearched,unverified_candidate,Wikipedia category: American software engineers
109,fe-candidate-0109-harald-hoyer,Harald Hoyer,,systemd contributor,,,,,https://en.wikipedia.org/wiki/Harald_Hoyer,unresearched,unverified_candidate,Curated: systemd contributor
110,fe-candidate-0110-aman-anand,Aman Anand,,OpenAI engineer,,,,,https://en.wikipedia.org/wiki/Aman_Anand,unresearched,unverified_candidate,Curated: OpenAI engineer
111,fe-candidate-0111-mike-butcher,Mike Butcher,1966,tech writer,,,,,https://en.wikipedia.org/wiki/Mike_Butcher,unresearched,unverified_candidate,Curated: tech writer
112,fe-candidate-0112-heath-clark,Heath Clark,,American software engineers,,,,,https://en.wikipedia.org/wiki/Heath_Clark,unresearched,unverified_candidate,Wikipedia category: American software engineers
113,fe-candidate-0113-bethanye-blount,Bethanye Blount,,tech engineer,,,,,https://en.wikipedia.org/wiki/Bethanye_Blount,unresearched,unverified_candidate,Curated: tech engineer
114,fe-candidate-0114-heather-miller,Heather Miller,,tech engineer,,,,,https://en.wikipedia.org/wiki/Heather_Miller,unresearched,unverified_candidate,Curated: tech engineer
115,fe-candidate-0115-jack-smith,Jack Smith,1968,Hotmail founder,,,,,https://en.wikipedia.org/wiki/Jack_Smith,unresearched,unverified_candidate,Curated: Hotmail founder
116,fe-candidate-0116-jack-zhang,Jack Zhang,,tech founder,,,,,https://en.wikipedia.org/wiki/Jack_Zhang,unresearched,unverified_candidate,Curated: tech founder
117,fe-candidate-0117-ali-rowghani,Ali Rowghani,1969,YC partner,,,,,https://en.wikipedia.org/wiki/Ali_Rowghani,unresearched,unverified_candidate,Curated: YC partner
118,fe-candidate-0118-jen-simmons,Jen Simmons,1975,web standards advocate,,,,,https://en.wikipedia.org/wiki/Jen_Simmons,unresearched,unverified_candidate,Curated: web standards advocate
119,fe-candidate-0119-radia-perlman,Radia Perlman,1951,networking pioneer,,,,,https://en.wikipedia.org/wiki/Radia_Perlman,unresearched,unverified_candidate,Curated: networking pioneer
120,fe-candidate-0120-grace-hopper,Grace Hopper,1906,COBOL creator,,,,,https://en.wikipedia.org/wiki/Grace_Hopper,unresearched,unverified_candidate,Curated: COBOL creator
121,fe-candidate-0121-sherri-nichols,Sherri Nichols,,American software engineers,,,,,https://en.wikipedia.org/wiki/Sherri_Nichols,unresearched,unverified_candidate,Wikipedia category: American software engineers
122,fe-candidate-0122-brian-acton,Brian Acton,1972,WhatsApp founder,,,,,https://en.wikipedia.org/wiki/Brian_Acton,unresearched,unverified_candidate,Curated: WhatsApp founder
123,fe-candidate-0123-harj-taggar,Harj Taggar,1984,YC partner,,,,,https://en.wikipedia.org/wiki/Harj_Taggar,unresearched,unverified_candidate,Curated: YC partner
124,fe-candidate-0124-maarten-grootendorst,Maarten Grootendorst,,AI researcher,,,,,https://en.wikipedia.org/wiki/Maarten_Grootendorst,unresearched,unverified_candidate,Curated: AI researcher
125,fe-candidate-0125-robert-c.-martin,Robert C. Martin,,American software engineers,,,,,https://en.wikipedia.org/wiki/Robert_C._Martin,unresearched,unverified_candidate,Wikipedia category: American software engineers
126,fe-candidate-0126-steve-mcconnell,Steve McConnell,,American software engineers,,,,,https://en.wikipedia.org/wiki/Steve_McConnell,unresearched,unverified_candidate,Wikipedia category: American software engineers
127,fe-candidate-0127-alex-wiltschko,Alex Wiltschko,,ML researcher,,,,,https://en.wikipedia.org/wiki/Alex_Wiltschko,unresearched,unverified_candidate,Curated: ML researcher
128,fe-candidate-0128-hal-abelson,Hal Abelson,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Hal_Abelson,unresearched,unverified_candidate,Wikipedia category: American computer scientists
129,fe-candidate-0129-omkhar-arasaratnam,Omkhar Arasaratnam,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Omkhar_Arasaratnam,unresearched,unverified_candidate,Wikipedia category: American computer scientists
130,fe-candidate-0130-aaron-grattafiori,Aaron Grattafiori,,Docker engineer,,,,,https://en.wikipedia.org/wiki/Aaron_Grattafiori,unresearched,unverified_candidate,Curated: Docker engineer
131,fe-candidate-0131-lonnie-d.-bentley,Lonnie D. Bentley,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Lonnie_D._Bentley,unresearched,unverified_candidate,Wikipedia category: American computer scientists
132,fe-candidate-0132-robert-griesemer,Robert Griesemer,,Go creator,,,,,https://en.wikipedia.org/wiki/Robert_Griesemer,unresearched,unverified_candidate,Curated: Go creator
133,fe-candidate-0133-ron-jeffries,Ron Jeffries,,XP contributor,,,,,https://en.wikipedia.org/wiki/Ron_Jeffries,unresearched,unverified_candidate,Curated: XP contributor
134,fe-candidate-0134-mike-beedle,Mike Beedle,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Mike_Beedle,unresearched,unverified_candidate,Wikipedia category: American computer scientists
135,fe-candidate-0135-misko-hevery,Misko Hevery,1972,Angular creator,,,,,https://en.wikipedia.org/wiki/Misko_Hevery,unresearched,unverified_candidate,Curated: Angular creator
136,fe-candidate-0136-henrik-ingo,Henrik Ingo,,RethinkDB engineer,,,,,https://en.wikipedia.org/wiki/Henrik_Ingo,unresearched,unverified_candidate,Curated: RethinkDB engineer
137,fe-candidate-0137-logan-kilpatrick,Logan Kilpatrick,,American software engineers,,,,,https://en.wikipedia.org/wiki/Logan_Kilpatrick,unresearched,unverified_candidate,Wikipedia category: American software engineers
138,fe-candidate-0138-satya-nadella,Satya Nadella,,American software engineers,,,,,https://en.wikipedia.org/wiki/Satya_Nadella,unresearched,unverified_candidate,Wikipedia category: American software engineers
139,fe-candidate-0139-hyung-won-chung,Hyung Won Chung,,OpenAI researcher,,,,,https://en.wikipedia.org/wiki/Hyung_Won_Chung,unresearched,unverified_candidate,Curated: OpenAI researcher
140,fe-candidate-0140-joshua-schachter,Joshua Schachter,1974,Delicious founder,,,,,https://en.wikipedia.org/wiki/Joshua_Schachter,unresearched,unverified_candidate,Curated: Delicious founder
141,fe-candidate-0141-baruch-awerbuch,Baruch Awerbuch,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Baruch_Awerbuch,unresearched,unverified_candidate,Wikipedia category: American computer scientists
142,fe-candidate-0142-wendy-hall,Wendy Hall,1952,web pioneer,,,,,https://en.wikipedia.org/wiki/Wendy_Hall,unresearched,unverified_candidate,Curated: web pioneer
143,fe-candidate-0143-woody-bledsoe,Woody Bledsoe,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Woody_Bledsoe,unresearched,unverified_candidate,Wikipedia category: American computer scientists
144,fe-candidate-0144-pieter-wuille,Pieter Wuille,1988,Bitcoin contributor,,,,,https://en.wikipedia.org/wiki/Pieter_Wuille,unresearched,unverified_candidate,Curated: Bitcoin contributor
145,fe-candidate-0145-bill-curtis,Bill Curtis,,American software engineers,,,,,https://en.wikipedia.org/wiki/Bill_Curtis,unresearched,unverified_candidate,Wikipedia category: American software engineers
146,fe-candidate-0146-kat-manalac,Kat Manalac,,YC partner,,,,,https://en.wikipedia.org/wiki/Kat_Manalac,unresearched,unverified_candidate,Curated: YC partner
147,fe-candidate-0147-alex-wilhelm,Alex Wilhelm,,tech writer,,,,,https://en.wikipedia.org/wiki/Alex_Wilhelm,unresearched,unverified_candidate,Curated: tech writer
148,fe-candidate-0148-jin-yi-cai,Jin-Yi Cai,,American computer scientists,,,,,https://en.wikipedia.org/wiki/Jin-Yi_Cai,unresearched,unverified_candidate,Wikipedia category: American computer scientists
149,fe-candidate-0149-michael-seibel,Michael Seibel,1982,YC partner,,,,,https://en.wikipedia.org/wiki/Michael_Seibel,unresearched,unverified_candidate,Curated: YC partner
