name,birth_year,occupation,notes
Andrew Ng,1976,researcher,deep learning/Coursera
Daphne Koller,1968,researcher,Coursera/probabilistic
Sebastian Thrun,1967,researcher,self-driving/Udacity
Fei-Fei Li,1973,researcher,ImageNet
Ian Goodfellow,1985,researcher,GANs
Andrej Karpathy,1986,researcher,deep learning/Tesla
Wojciech Zaremba,1987,researcher,OpenAI
Greg Brockman,1987,founder,OpenAI
Demis Hassabis,1976,founder,DeepMind
Mustafa Suleyman,1984,founder,DeepMind
Shane Legg,1973,founder,DeepMind
David Silver,1976,researcher,AlphaGo
Volodymyr Mnih,1982,researcher,DQN
Arthur Samuel,1901,researcher,machine learning
Frank Rosenblatt,1928,researcher,perceptron
Oliver Selfridge,1926,researcher,pattern recognition
Walter Pitts,1923,researcher,neural networks
Warren McCulloch,1898,researcher,neural networks
Bernard Widrow,1929,researcher,ADALINE
Ted Codd,1923,researcher,relational DB
Michael Jordan,1957,researcher,machine learning
Judea Pearl,1936,researcher,Bayesian networks
Thomas Bayes,1701,researcher,Bayes theorem
Pierre-Simon Laplace,1749,researcher,Bayesian/probability
Andrey Kolmogorov,1903,researcher,probability theory
William Feller,1906,researcher,probability
Joseph Doob,1910,researcher,stochastic processes
John Tukey,1915,researcher,FFT/statistics
James Cooley,1926,researcher,FFT
R. W. Hamming,1915,researcher,Hamming code
Oskar Morgenstern,1902,researcher,game theory
Lloyd Shapley,1923,researcher,game theory
Alvin Roth,1951,researcher,market design
David Gale,1921,researcher,game theory
Herbert Simon,1916,researcher,AI/decision theory
Allen Newell,1927,researcher,AI
Edward Feigenbaum,1936,researcher,expert systems
Terry Winograd,1946,researcher,SHRDLU/NLP
Roger Schank,1946,researcher,NLP
Raj Reddy,1937,researcher,speech/AI
Frederick Jelinek,1932,researcher,speech recognition
Lawrence Rabiner,1943,researcher,speech/DSP
James Flanagan,1925,researcher,speech
Thomas Kailath,1935,researcher,signal processing
Alan Oppenheim,1937,researcher,signal processing
Ronald Schafer,1938,researcher,signal processing
Bernard Gold,1925,researcher,DSP
Charles Rader,1936,researcher,FFT
Gordon Moore,1929,founder,Intel/Moore's law
Robert Noyce,1927,founder,Intel/co-inventor IC
Andy Grove,1936,founder,Intel CEO
Arthur Rock,1926,founder,venture capital
Eugene Kleiner,1923,founder,Kleiner Perkins
Tom Perkins,1932,founder,Kleiner Perkins
Brook Byers,1935,founder,Kleiner Perkins
John Doerr,1951,founder,Kleiner Perkins
Michael Moritz,1954,founder,Sequoia
Don Valentine,1932,founder,Sequoia
Pierre Lamond,1930,founder,Sequoia
Doug Leone,1957,founder,Sequoia
Roelof Botha,1973,founder,Sequoia
Peter Thiel,1967,founder,PayPal/Palantir
Reid Hoffman,1967,founder,LinkedIn
Ken Howery,1975,founder,PayPal
Luke Nosek,1975,founder,PayPal
David Sacks,1972,founder,PayPal/Yammer
Keith Rabois,1969,founder,PayPal/Slide
Chad Dickerson,1973,founder,Etsy
Rob Kalin,1980,founder,Etsy
Chris Maguire,1978,founder,Etsy
Haim Schoppik,1980,founder,Etsy
Jack Abraham,1987,founder,Milo
Travis Kalanick,1976,founder,Uber
Ryan Graves,1983,founder,Uber
Cristina Aibinescu,1990,engineer,Stripe
Jennifer Yuen,1990,engineer,Stripe
Brian Armstrong,1983,founder,Coinbase
Fred Ehrsam,1988,founder,Coinbase
Charlie Lee,1977,founder,Litecoin
Gavin Wood,1980,founder,Ethereum/Polkadot
Charles Hoskinson,1987,founder,Cardano
Dan Larimer,1983,founder,EOS/Steem
Jed McCaleb,1975,founder,Ripple/Stellar
Arthur Britto,1985,founder,Ripple
David Schwartz,1964,founder,Ripple CTO
Chris Larsen,1960,founder,Ripple
Brad Garlinghouse,1968,founder,Ripple CEO
Satoshi Nakamoto,1970,founder,Bitcoin
Hal Finney,1956,founder,Bitcoin pioneer
Nick Szabo,1964,researcher,smart contracts
Wei Dai,1971,researcher,b-money
Adam Back,1970,researcher,hashcash
Craig Wright,1970,founder,claimed Satoshi
Roger Ver,1979,founder,Bitcoin Jesus
Winklevoss Twins,1981,founder,Gemini/Bitcoin
Tyler Winklevoss,1981,founder,Gemini
Cameron Winklevoss,1981,founder,Gemini
Michael Saylor,1965,founder,MicroStrategy
Brian Halligan,1967,founder,HubSpot
Dharmesh Shah,1967,founder,HubSpot
Rand Fishkin,1979,founder,Moz
Will Reynolds,1979,founder,Seer Interactive
Neil Patel,1985,founder,Crazy Egg/KISSmetrics
Hiten Shah,1979,founder,KISSmetrics
Sujan Patel,1985,founder,Mailshake
Andrew Chen,1986,founder,growth
Andrew Mason,1980,founder,Groupon
Eric Lefkofsky,1969,founder,Groupon/Tempus
Brad Keywell,1969,founder,Groupon
Jason Calacanis,1970,founder,Weblogs/Mahalo
Jason Fried,1974,founder,Basecamp
Philipp Lauritsen,1982,founder,Typeform
Robert Reffkin,1979,founder,Compass
Oren Alexander,1989,founder,Compass
Tal Alexander,1987,founder,Compass
Nari Gavrilov,1983,founder,Compass
Nathan Yuschik,1984,founder,Compass
Eric Yuan,1970,founder,Zoom
Oded Gal,1975,founder,Zoom
Harry Moseley,1965,founder,Zoom
Kelly Steckelberg,1965,founder,Zoom
Satya Nadella,1967,founder,Microsoft CEO
Safra Catz,1961,founder,Oracle CEO
Ginni Rometty,1957,founder,IBM CEO
Virginia Rometty,1957,founder,IBM CEO
Ursula Burns,1958,founder,Xerox CEO
Shelly Lazarus,1947,founder,Ogilvy
Indra Nooyi,1955,founder,PepsiCo CEO
