person_id,name,source_index,source_url,source_role,retrieval_date,audit_status
drew-houston,Drew Houston,1,https://en.wikipedia.org/wiki/Drew_Houston,primary_row_source,,not_independently_audited
arash-ferdowsi,Arash Ferdowsi,1,https://en.wikipedia.org/wiki/Arash_Ferdowsi,primary_row_source,,not_independently_audited
brian-chesky,Brian Chesky,1,https://en.wikipedia.org/wiki/Brian_Chesky,primary_row_source,,not_independently_audited
joe-gebbia,Joe Gebbia,1,https://en.wikipedia.org/wiki/Joe_Gebbia,primary_row_source,,not_independently_audited
nathan-blecharczyk,Nathan Blecharczyk,1,https://en.wikipedia.org/wiki/Nathan_Blecharczyk,primary_row_source,,not_independently_audited
daniel-ek,Daniel Ek,1,https://en.wikipedia.org/wiki/Daniel_Ek,primary_row_source,,not_independently_audited
tobi-l-tke,Tobi Lütke,1,https://en.wikipedia.org/wiki/Tobias_L%C3%BCtke,primary_row_source,,not_independently_audited
david-karp,David Karp,1,https://en.wikipedia.org/wiki/David_Karp,primary_row_source,,not_independently_audited
matt-mullenweg,Matt Mullenweg,1,https://en.wikipedia.org/wiki/Matt_Mullenweg,primary_row_source,,not_independently_audited
david-heinemeier-hansson,David Heinemeier Hansson,1,https://en.wikipedia.org/wiki/David_Heinemeier_Hansson,primary_row_source,,not_independently_audited
palmer-luckey,Palmer Luckey,1,https://en.wikipedia.org/wiki/Palmer_Luckey,primary_row_source,,not_independently_audited
austin-russell,Austin Russell,1,https://en.wikipedia.org/wiki/Austin_Russell_(entrepreneur),primary_row_source,,not_independently_audited
nick-d-aloisio,Nick D'Aloisio,1,https://en.wikipedia.org/wiki/Nick_D%27Aloisio,primary_row_source,,not_independently_audited
josh-browder,Josh Browder,1,https://en.wikipedia.org/wiki/DoNotPay,primary_row_source,,not_independently_audited
boyan-slat,Boyan Slat,1,https://en.wikipedia.org/wiki/Boyan_Slat,primary_row_source,,not_independently_audited
george-hotz,George Hotz,1,https://en.wikipedia.org/wiki/George_Hotz,primary_row_source,,not_independently_audited
alexandr-wang,Alexandr Wang,1,https://en.wikipedia.org/wiki/Alexandr_Wang,primary_row_source,,not_independently_audited
alexandr-wang,Alexandr Wang,2,https://economictimes.indiatimes.com/tech/artificial-intelligence/from-mit-dropout-to-ai-billionaire-who-is-scale-ais-alexandr-wang/articleshow/121845855.cms,supporting_source,,not_independently_audited
lucy-guo,Lucy Guo,1,https://en.wikipedia.org/wiki/Lucy_Guo,primary_row_source,,not_independently_audited
dylan-field,Dylan Field,1,https://en.wikipedia.org/wiki/Dylan_Field,primary_row_source,,not_independently_audited
evan-wallace,Evan Wallace,1,https://en.wikipedia.org/wiki/Figma,primary_row_source,,not_independently_audited
vitalik-buterin,Vitalik Buterin,1,https://en.wikipedia.org/wiki/Vitalik_Buterin,primary_row_source,,not_independently_audited
vitalik-buterin,Vitalik Buterin,2,https://time.com/6158182/vitalik-buterin-ethereum-profile/,supporting_source,,not_independently_audited
whitney-wolfe-herd,Whitney Wolfe Herd,1,https://en.wikipedia.org/wiki/Whitney_Wolfe_Herd,primary_row_source,,not_independently_audited
melanie-perkins,Melanie Perkins,1,https://en.wikipedia.org/wiki/Melanie_Perkins,primary_row_source,,not_independently_audited
ben-francis,Ben Francis,1,https://en.wikipedia.org/wiki/Ben_Francis,primary_row_source,,not_independently_audited
sophia-amoruso,Sophia Amoruso,1,https://en.wikipedia.org/wiki/Sophia_Amoruso,primary_row_source,,not_independently_audited
gurbaksh-chahal,Gurbaksh Chahal,1,https://en.wikipedia.org/wiki/Gurbaksh_Chahal,primary_row_source,,not_independently_audited
evan-spiegel,Evan Spiegel,1,https://en.wikipedia.org/wiki/Evan_Spiegel,primary_row_source,,not_independently_audited
bobby-murphy,Bobby Murphy,1,https://en.wikipedia.org/wiki/Bobby_Murphy,primary_row_source,,not_independently_audited
kevin-systrom,Kevin Systrom,1,https://en.wikipedia.org/wiki/Kevin_Systrom,primary_row_source,,not_independently_audited
mike-krieger,Mike Krieger,1,https://en.wikipedia.org/wiki/Mike_Krieger,primary_row_source,,not_independently_audited
john-zimmer,John Zimmer,1,https://en.wikipedia.org/wiki/John_Zimmer,primary_row_source,,not_independently_audited
logan-green,Logan Green,1,https://en.wikipedia.org/wiki/Logan_Green,primary_row_source,,not_independently_audited
ritesh-agarwal,Ritesh Agarwal,1,https://en.wikipedia.org/wiki/Ritesh_Agarwal,primary_row_source,,not_independently_audited
aadit-palicha,Aadit Palicha,1,https://en.wikipedia.org/wiki/Zepto_(company),primary_row_source,,not_independently_audited
kaivalya-vohra,Kaivalya Vohra,1,https://en.wikipedia.org/wiki/Zepto_(company),primary_row_source,,not_independently_audited
harshil-mathur,Harshil Mathur,1,https://razorpay.com/blog/harshil-mathur-on-funding-accelerators/,primary_row_source,,not_independently_audited
shashank-kumar,Shashank Kumar,1,https://en.wikipedia.org/wiki/Razorpay,primary_row_source,,not_independently_audited
bhavish-aggarwal,Bhavish Aggarwal,1,https://en.wikipedia.org/wiki/Bhavish_Aggarwal,primary_row_source,,not_independently_audited
vijay-shekhar-sharma,Vijay Shekhar Sharma,1,https://en.wikipedia.org/wiki/Vijay_Shekhar_Sharma,primary_row_source,,not_independently_audited
nikhil-kamath,Nikhil Kamath,1,https://en.wikipedia.org/wiki/Nikhil_Kamath,primary_row_source,,not_independently_audited
sachin-bansal,Sachin Bansal,1,https://en.wikipedia.org/wiki/Sachin_Bansal,primary_row_source,,not_independently_audited
binny-bansal,Binny Bansal,1,https://en.wikipedia.org/wiki/Binny_Bansal,primary_row_source,,not_independently_audited
kavin-bharti-mittal,Kavin Bharti Mittal,1,https://en.wikipedia.org/wiki/Kavin_Bharti_Mittal,primary_row_source,,not_independently_audited
trishneet-arora,Trishneet Arora,1,https://en.wikipedia.org/wiki/Trishneet_Arora,primary_row_source,,not_independently_audited
harshita-arora,Harshita Arora,1,https://en.wikipedia.org/wiki/Harshita_Arora,primary_row_source,,not_independently_audited
zach-yadegari,Zach Yadegari,1,https://www.businessinsider.com/teenager-built-million-dollar-startup-how-he-did-it-2025-10,primary_row_source,,not_independently_audited
michael-truell,Michael Truell,1,https://www.ycombinator.com/library/MU-cursor-ceo-going-beyond-code-superintelligent-ai-agents-and-why-taste-still-matters,primary_row_source,,not_independently_audited
sualeh-asif,Sualeh Asif,1,https://www.hurun.net/en-US/Info/Detail?num=7OUKOTSI3K1B,primary_row_source,,not_independently_audited
aman-sanger,Aman Sanger,1,https://www.forbes.com/sites/sarahemerson/2024/12/03/30-under-30-ai-2025-the-young-entrepreneurs-coding-the-future/,primary_row_source,,not_independently_audited
arvid-lunnemark,Arvid Lunnemark,1,https://www.linkedin.com/in/arvid-lunnemark,primary_row_source,,not_independently_audited
brendan-foody,Brendan Foody,1,https://en.wikipedia.org/wiki/Mercor,primary_row_source,,not_independently_audited
adarsh-hiremath,Adarsh Hiremath,1,https://en.wikipedia.org/wiki/Mercor,primary_row_source,,not_independently_audited
surya-midha,Surya Midha,1,https://en.wikipedia.org/wiki/Mercor,primary_row_source,,not_independently_audited
chris-zhu,Chris Zhu,1,https://www.rambus.com/blogs/from-dorm-room-beginnings-to-a-pioneer-in-the-ai-chip-revolution-how-etched-is-collaborating-with-rambus-to-achieve-their-vision/,primary_row_source,,not_independently_audited
gavin-uberti,Gavin Uberti,1,https://www.reuters.com/technology/artificial-intelligence/ai-startup-etched-raises-120-million-develop-specialized-chip-2024-06-25/,primary_row_source,,not_independently_audited
chungin-roy-lee,"Chungin ""Roy"" Lee",1,https://en.wikipedia.org/wiki/Cluely,primary_row_source,,not_independently_audited
avi-schiffmann,Avi Schiffmann,1,https://en.wikipedia.org/wiki/Avi_Schiffmann,primary_row_source,,not_independently_audited
edward-tian,Edward Tian,1,https://gptzero.me/news/inside-gptzeros-office-hours-with-founder-edward-tian/,primary_row_source,,not_independently_audited
ethan-thornton,Ethan Thornton,1,https://research.contrary.com/company/mach-industries,primary_row_source,,not_independently_audited
steven-wang,Steven Wang,1,https://www.businessinsider.com/harvard-dropped-out-business-entrepreneur-dub-2025-2,primary_row_source,,not_independently_audited
alfred-wahlforss,Alfred Wahlforss,1,https://sequoiacap.com/podcast/knowing-what-your-customers-want-all-the-time-listen-labs-alfred-wahlforss/,primary_row_source,,not_independently_audited
allan-maman,Allan Maman,1,https://mercury.com/blog/founder-spotlight-allan-maman-bloom,primary_row_source,,not_independently_audited
andrew-zelaya,Andrew Zelaya,1,https://www.ycombinator.com/companies/gradia-health,primary_row_source,,not_independently_audited
rithvik-seela,Rithvik Seela,1,https://www.healthcareittoday.com/2023/07/27/gradia-health-secures-4-2m-in-seed-funding-to-improve-ongoing-care-for-patients-with-chronic-conditions/,primary_row_source,,not_independently_audited
alex-rothberg,Alex Rothberg,1,https://entrepreneurship.brown.edu/brown-ventures-action/intus-care,primary_row_source,,not_independently_audited
steven-schwartz,Steven Schwartz,1,https://en.wikipedia.org/wiki/Whop.com,primary_row_source,,not_independently_audited
cameron-zoub,Cameron Zoub,1,https://en.wikipedia.org/wiki/Whop.com,primary_row_source,,not_independently_audited
jimmy-donaldson,Jimmy Donaldson,1,https://en.wikipedia.org/wiki/MrBeast,primary_row_source,,not_independently_audited
marques-brownlee,Marques Brownlee,1,https://www.wired.com/2014/11/marques-brownlee,primary_row_source,,not_independently_audited
felix-kjellberg-pewdiepie,Felix Kjellberg (PewDiePie),1,https://en.wikipedia.org/wiki/PewDiePie,primary_row_source,,not_independently_audited
ksi,KSI,1,https://en.wikipedia.org/wiki/KSI,primary_row_source,,not_independently_audited
emma-chamberlain,Emma Chamberlain,1,https://en.wikipedia.org/wiki/Emma_Chamberlain,primary_row_source,,not_independently_audited
bhuvan-bam,Bhuvan Bam,1,https://en.wikipedia.org/wiki/Bhuvan_Bam,primary_row_source,,not_independently_audited
ajey-nagar-carryminati,Ajey Nagar (CarryMinati),1,https://en.wikipedia.org/wiki/CarryMinati,primary_row_source,,not_independently_audited
nuseir-yassin,Nuseir Yassin,1,https://en.wikipedia.org/wiki/Nas_Daily,primary_row_source,,not_independently_audited
ali-abdaal,Ali Abdaal,1,https://en.wikipedia.org/wiki/Ali_Abdaal,primary_row_source,,not_independently_audited
kylie-jenner,Kylie Jenner,1,https://en.wikipedia.org/wiki/Kylie_Jenner,primary_row_source,,not_independently_audited
taylor-swift,Taylor Swift,1,https://en.wikipedia.org/wiki/Taylor_Swift,primary_row_source,,not_independently_audited
billie-eilish,Billie Eilish,1,https://en.wikipedia.org/wiki/Billie_Eilish,primary_row_source,,not_independently_audited
billie-eilish,Billie Eilish,2,https://people.com/all-about-billie-eilish-brother-finneas-8598180,supporting_source,,not_independently_audited
linus-torvalds,Linus Torvalds,1,https://en.wikipedia.org/wiki/Linus_Torvalds,primary_row_source,,not_independently_audited
john-carmack,John Carmack,1,https://en.wikipedia.org/wiki/John_Carmack,primary_row_source,,not_independently_audited
ilya-sutskever,Ilya Sutskever,1,https://en.wikipedia.org/wiki/Ilya_Sutskever,primary_row_source,,not_independently_audited
terence-tao,Terence Tao,1,https://en.wikipedia.org/wiki/Terence_Tao,primary_row_source,,not_independently_audited
magnus-carlsen,Magnus Carlsen,1,https://en.wikipedia.org/wiki/Magnus_Carlsen,primary_row_source,,not_independently_audited
lionel-messi,Lionel Messi,1,https://en.wikipedia.org/wiki/Lionel_Messi,primary_row_source,,not_independently_audited
serena-williams,Serena Williams,1,https://en.wikipedia.org/wiki/Serena_Williams,primary_row_source,,not_independently_audited
pv-sindhu,PV Sindhu,1,https://en.wikipedia.org/wiki/P._V._Sindhu,primary_row_source,,not_independently_audited
pv-sindhu,PV Sindhu,2,https://www.olympics.com/en/news/pv-sindhu-parents-pv-ramana-vijaya-indian-badminton-player-volleyball,supporting_source,,not_independently_audited
neeraj-chopra,Neeraj Chopra,1,https://en.wikipedia.org/wiki/Neeraj_Chopra,primary_row_source,,not_independently_audited
virat-kohli,Virat Kohli,1,https://en.wikipedia.org/wiki/Virat_Kohli,primary_row_source,,not_independently_audited
alakh-pandey,Alakh Pandey,1,https://en.wikipedia.org/wiki/Physics_Wallah,primary_row_source,,not_independently_audited
